Date de saisie;Date opération;Description;Montant;Type;Catégorie;Date de rapprochement;Répétition mensuelle;Répétition annuelle;Depuis;Vers;ID
01/01/2023;01/01/2023;Solde initial Compte Courant;1150,00;Recettes;Solde initial;01/01/2023;FAUX;FAUX;;Compte Courant Principal;1
26/01/2023;27/01/2023;Salaire Mensuel 💶;1750,96;Recettes;Salaire;27/01/2023;VRAI;FAUX;;Compte Courant Principal;2
01/01/2023;02/01/2023;Virement Épargne Mensuelle 🐷;120,00;Virement;Épargne;02/01/2023;VRAI;FAUX;Compte Courant Principal;Livret A;3
04/01/2023;05/01/2023;Loyer & Charges 🏠;620,00;Dépenses fixes;Logement;05/01/2023;VRAI;FAUX;Compte Courant Principal;;4
08/01/2023;10/01/2023;Facture Électricité & Gaz ⚡;94,10;Dépenses fixes;Énergie & Eau;10/01/2023;VRAI;FAUX;Compte Courant Principal;;5
11/01/2023;12/01/2023;Abonnement Fibre & Mobile 📱;48,00;Dépenses fixes;Téléphonie & Internet;12/01/2023;VRAI;FAUX;Compte Courant Principal;;6
17/01/2023;18/01/2023;Assurance Habitation & Auto 🛡️;66,89;Dépenses fixes;Assurance;18/01/2023;VRAI;FAUX;Compte Courant Principal;;7
19/01/2023;20/01/2023;Abonnement Streaming 🎬;22,00;Dépenses fixes;Abonnements & Médias;20/01/2023;VRAI;FAUX;Compte Courant Principal;;8
21/01/2023;22/01/2023;Cotisation Mutuelle 💊;32,00;Dépenses fixes;Santé & Mutuelle;22/01/2023;VRAI;FAUX;Compte Courant Principal;;9
02/01/2023;02/01/2023;Courses Carrefour 🛒;93,61;Dépenses variables;Alimentation;02/01/2023;FAUX;FAUX;Compte Courant Principal;;10
12/01/2023;12/01/2023;Courses Auchan 🛒;90,20;Dépenses variables;Alimentation;12/01/2023;FAUX;FAUX;Compte Courant Principal;;11
20/01/2023;20/01/2023;Courses E.Leclerc 🛒;96,09;Dépenses variables;Alimentation;20/01/2023;FAUX;FAUX;Compte Courant Principal;;12
25/01/2023;25/01/2023;Courses Lidl 🛒;94,98;Dépenses variables;Alimentation;25/01/2023;FAUX;FAUX;Compte Courant Principal;;13
07/01/2023;07/01/2023;Station TotalEnergies - Carburant ⛽;57,22;Dépenses variables;Transport & Carburant;07/01/2023;FAUX;FAUX;Compte Courant Principal;;14
20/01/2023;20/01/2023;Station TotalEnergies - Carburant ⛽;62,66;Dépenses variables;Transport & Carburant;20/01/2023;FAUX;FAUX;Compte Courant Principal;;15
08/01/2023;08/01/2023;Pizzeria Bella Vista 🍕;33,02;Dépenses variables;Restauration & Sorties;08/01/2023;FAUX;FAUX;Compte Courant Principal;;16
21/01/2023;21/01/2023;Pizzeria Bella Vista 🍕;35,59;Dépenses variables;Restauration & Sorties;21/01/2023;FAUX;FAUX;Compte Courant Principal;;17
16/01/2023;16/01/2023;Pharmacie Centrale 💊;22,12;Dépenses variables;Santé & Mutuelle;16/01/2023;FAUX;FAUX;Compte Courant Principal;;18
22/01/2023;22/01/2023;Decathlon - Loisirs ⚽;129,59;Dépenses variables;Loisirs & Culture;22/01/2023;FAUX;FAUX;Compte Courant Principal;;19
12/01/2023;12/01/2023;Shopping Habillement 🛍️;54,46;Dépenses variables;Shopping & Habillement;12/01/2023;FAUX;FAUX;Compte Courant Principal;;20
27/02/2023;28/02/2023;Salaire Mensuel 💶;1752,57;Recettes;Salaire;28/02/2023;VRAI;FAUX;;Compte Courant Principal;21
31/01/2023;02/02/2023;Virement Épargne Mensuelle 🐷;120,00;Virement;Épargne;02/02/2023;VRAI;FAUX;Compte Courant Principal;Livret A;22
04/02/2023;05/02/2023;Loyer & Charges 🏠;620,00;Dépenses fixes;Logement;05/02/2023;VRAI;FAUX;Compte Courant Principal;;23
09/02/2023;10/02/2023;Facture Électricité & Gaz ⚡;94,17;Dépenses fixes;Énergie & Eau;10/02/2023;VRAI;FAUX;Compte Courant Principal;;24
11/02/2023;12/02/2023;Abonnement Fibre & Mobile 📱;48,00;Dépenses fixes;Téléphonie & Internet;12/02/2023;VRAI;FAUX;Compte Courant Principal;;25
17/02/2023;18/02/2023;Assurance Habitation & Auto 🛡️;68,51;Dépenses fixes;Assurance;18/02/2023;VRAI;FAUX;Compte Courant Principal;;26
18/02/2023;20/02/2023;Abonnement Streaming 🎬;22,00;Dépenses fixes;Abonnements & Médias;20/02/2023;VRAI;FAUX;Compte Courant Principal;;27
21/02/2023;22/02/2023;Cotisation Mutuelle 💊;32,00;Dépenses fixes;Santé & Mutuelle;22/02/2023;VRAI;FAUX;Compte Courant Principal;;28
02/02/2023;02/02/2023;Courses Carrefour 🛒;91,80;Dépenses variables;Alimentation;02/02/2023;FAUX;FAUX;Compte Courant Principal;;29
11/02/2023;11/02/2023;Courses E.Leclerc 🛒;89,63;Dépenses variables;Alimentation;11/02/2023;FAUX;FAUX;Compte Courant Principal;;30
19/02/2023;19/02/2023;Courses Lidl 🛒;94,70;Dépenses variables;Alimentation;19/02/2023;FAUX;FAUX;Compte Courant Principal;;31
27/02/2023;27/02/2023;Courses Carrefour 🛒;94,09;Dépenses variables;Alimentation;27/02/2023;FAUX;FAUX;Compte Courant Principal;;32
06/02/2023;06/02/2023;Station TotalEnergies - Carburant ⛽;59,27;Dépenses variables;Transport & Carburant;06/02/2023;FAUX;FAUX;Compte Courant Principal;;33
20/02/2023;20/02/2023;Station TotalEnergies - Carburant ⛽;56,31;Dépenses variables;Transport & Carburant;20/02/2023;FAUX;FAUX;Compte Courant Principal;;34
